Date,Open,High,Low,Close,Adj Close,Volume,Stocks_Name
2011-01-12,5.0,6.96999979019165,3.069999933242798,3.2049999237060547,3.2049999237060547,1193472000,SPYL
2011-01-13,3.799999952316284,3.799999952316284,3.799999952316284,3.799999952316284,3.799999952316284,468000,SPYL
2011-01-14,3.039999961853028,3.039999961853028,3.039999961853028,3.039999961853028,3.039999961853028,288000,SPYL
2011-01-17,2.740000009536743,2.740000009536743,2.740000009536743,2.740000009536743,2.740000009536743,285300,SPYL
2011-01-18,2.470000028610229,2.914999961853028,2.470000028610229,2.5450000762939453,2.5450000762939453,56567080,SPYL
2011-01-19,2.5999999046325684,2.694999933242798,2.509999990463257,2.539999961853028,2.539999961853028,15221090,SPYL
2011-01-20,2.539999961853028,2.5899999141693115,2.299999952316284,2.319999933242798,2.319999933242798,4652690,SPYL
2011-01-21,2.259999990463257,2.400000095367432,2.2249999046325684,2.2950000762939453,2.2950000762939453,4148420,SPYL
2011-01-24,2.345000028610229,2.4100000858306885,2.309999942779541,2.4100000858306885,2.4100000858306885,899520,SPYL
2011-01-25,2.5350000858306885,2.5350000858306885,2.5350000858306885,2.5350000858306885,2.5350000858306885,426090,SPYL
2011-01-27,2.664999961853028,2.664999961853028,2.5999999046325684,2.664999961853028,2.664999961853028,8317900,SPYL
2011-01-28,2.799999952316284,2.799999952316284,2.5350000858306885,2.575000047683716,2.575000047683716,6214700,SPYL
2011-01-31,2.4800000190734863,2.5999999046325684,2.4600000381469727,2.5799999237060547,2.5799999237060547,1901260,SPYL
2011-02-01,2.615000009536743,2.694999933242798,2.515000104904175,2.539999961853028,2.539999961853028,1728900,SPYL
2011-02-02,2.6449999809265137,2.6700000762939453,2.4749999046325684,2.5799999237060547,2.5799999237060547,1495370,SPYL
2011-02-03,2.559999942779541,2.5850000381469727,2.515000104904175,2.549999952316284,2.549999952316284,442820,SPYL
2011-02-04,2.674999952316284,2.674999952316284,2.450000047683716,2.470000028610229,2.470000028610229,690140,SPYL
2011-02-07,2.4549999237060547,2.5199999809265137,2.3949999809265137,2.414999961853028,2.414999961853028,515320,SPYL
2011-02-08,2.424999952316284,2.450000047683716,2.299999952316284,2.319999933242798,2.319999933242798,341190,SPYL
2011-02-09,2.299999952316284,2.299999952316284,2.2049999237060547,2.2049999237060547,2.2049999237060547,296590,SPYL
2011-02-10,2.0999999046325684,2.315000057220459,2.095000028610229,2.315000057220459,2.315000057220459,525430,SPYL
2011-02-11,2.434999942779541,2.434999942779541,2.434999942779541,2.434999942779541,2.434999942779541,141150,SPYL
2011-02-14,2.559999942779541,2.559999942779541,2.559999942779541,2.559999942779541,2.559999942779541,114580,SPYL
2011-02-15,2.690000057220459,2.690000057220459,2.4549999237060547,2.690000057220459,2.690000057220459,2067690,SPYL
2011-02-16,2.825000047683716,2.825000047683716,2.7300000190734863,2.825000047683716,2.825000047683716,469740,SPYL
2011-02-17,2.940000057220459,2.970000028610229,2.8299999237060547,2.970000028610229,2.970000028610229,1748600,SPYL
2011-02-18,3.069999933242798,3.119999885559082,2.8399999141693115,3.115000009536743,3.115000009536743,1710380,SPYL
2011-02-21,3.009999990463257,3.275000095367432,3.0,3.275000095367432,3.275000095367432,1618490,SPYL
2011-02-22,3.3949999809265137,3.3949999809265137,3.2100000381469727,3.325000047683716,3.325000047683716,1777360,SPYL
2011-02-23,3.25,3.319999933242798,3.1600000858306885,3.1600000858306885,3.1600000858306885,1015320,SPYL
2011-02-24,3.005000114440918,3.005000114440918,3.005000114440918,3.005000114440918,3.005000114440918,33830,SPYL
2011-02-25,2.8550000190734863,2.950000047683716,2.8550000190734863,2.8550000190734863,2.8550000190734863,1560270,SPYL
2011-02-28,2.7149999141693115,2.8350000381469727,2.7149999141693115,2.740000009536743,2.740000009536743,601450,SPYL
2011-03-01,2.845000028610229,2.845000028610229,2.7249999046325684,2.805000066757202,2.805000066757202,432420,SPYL
2011-03-03,2.799999952316284,2.809999942779541,2.664999961853028,2.694999933242798,2.694999933242798,259420,SPYL
2011-03-04,2.700000047683716,2.8299999237060547,2.664999961853028,2.8299999237060547,2.8299999237060547,258920,SPYL
2011-03-07,2.9749999046325684,2.9749999046325684,2.9749999046325684,2.9749999046325684,2.9749999046325684,198880,SPYL
2011-03-08,3.125,3.125,3.015000104904175,3.125,3.125,1455050,SPYL
2011-03-09,3.2850000858306885,3.2850000858306885,3.075000047683716,3.2850000858306885,3.2850000858306885,1723120,SPYL
2011-03-10,3.444999933242798,3.444999933242798,3.125,3.1600000858306885,3.1600000858306885,1169630,SPYL
2011-03-11,3.0799999237060547,3.140000104904175,3.005000114440918,3.0199999809265137,3.0199999809265137,318440,SPYL
