Date,Open,High,Low,Close,Adj Close,Volume,Stocks_Name,Dividends,Stock splits,Capital gains
2004-09-24,25.0,26.950000762939453,22.600000381469727,23.75,20.7557430267334,16930372,IBREALEST,,,
2004-09-27,24.0,24.0,22.5,22.850000381469727,19.969209671020508,3621350,IBREALEST,,,
2004-09-28,22.5,23.450000762939453,22.049999237060547,22.14999961853028,19.35746192932129,2290600,IBREALEST,,,
2004-09-29,22.100000381469727,23.5,22.100000381469727,23.200000762939453,20.27508354187012,2686927,IBREALEST,,,
2004-09-30,23.5,23.75,23.100000381469727,23.39999961853028,20.44986915588379,1597220,IBREALEST,,,
2004-10-01,23.350000381469727,24.950000762939453,22.5,24.549999237060547,21.45488166809082,2591134,IBREALEST,,,
2004-10-04,24.799999237060547,26.75,24.14999961853028,25.700000762939453,22.45989799499512,3864897,IBREALEST,,,
2004-10-05,26.200000762939453,28.299999237060547,25.299999237060547,27.799999237060547,24.295141220092773,6188353,IBREALEST,,,
2004-10-06,28.0,29.299999237060547,27.5,27.600000381469727,24.12035751342773,3616139,IBREALEST,,,
2004-10-07,27.89999961853028,30.0,27.75,29.350000381469727,25.649730682373047,4313866,IBREALEST,,,
2004-10-08,29.350000381469727,29.350000381469727,29.350000381469727,29.350000381469727,25.649730682373047,0,IBREALEST,,,
2004-10-11,35.79999923706055,35.79999923706055,31.299999237060547,31.549999237060547,27.57236289978028,6491444,IBREALEST,,,
2004-10-12,33.45000076293945,33.45000076293945,30.5,30.89999961853028,27.00431060791016,3081350,IBREALEST,,,
2004-10-14,30.0,31.0,29.200000762939453,29.89999961853028,26.130386352539062,1560185,IBREALEST,,,
2004-10-15,29.89999961853028,29.89999961853028,29.89999961853028,29.89999961853028,26.130386352539062,0,IBREALEST,,,
2004-10-18,28.450000762939453,29.25,27.75,28.0,24.469926834106445,1637491,IBREALEST,,,
2004-10-19,28.0,28.700000762939453,27.5,28.450000762939453,24.86319351196289,1100419,IBREALEST,,,
2004-10-20,28.5,28.700000762939453,28.0,28.049999237060547,24.51362419128418,552949,IBREALEST,,,
2004-10-21,28.39999961853028,29.700000762939453,28.100000381469727,29.100000381469727,25.431245803833008,1681665,IBREALEST,,,
2004-10-22,29.100000381469727,29.100000381469727,29.100000381469727,29.100000381469727,25.431245803833008,0,IBREALEST,,,
2004-10-25,29.25,29.450000762939453,28.0,29.0,25.343854904174805,2744311,IBREALEST,,,
2004-10-26,29.200000762939453,32.0,28.75,31.299999237060547,27.3538818359375,2090746,IBREALEST,,,
2004-10-27,32.099998474121094,32.79999923706055,30.75,31.25,27.31018829345703,2074681,IBREALEST,,,
2004-10-28,31.850000381469727,32.79999923706055,31.350000381469727,32.400001525878906,28.315200805664062,2550879,IBREALEST,,,
2004-10-29,32.400001525878906,32.400001525878906,32.400001525878906,32.400001525878906,28.315200805664062,0,IBREALEST,,,
2004-11-01,32.54999923706055,32.95000076293945,32.099998474121094,32.349998474121094,28.271503448486328,648100,IBREALEST,,,
2004-11-02,32.45000076293945,33.0,32.04999923706055,32.20000076293945,28.140419006347656,593570,IBREALEST,,,
